entry_id,reduced_formula,nelem,spacegroup_symbol,crystal_system,magnetic_ordering,magnetic_polarization_T,total_magnetic_moment_uB,mae_energy_da_meV_cell,mae_constant_da_MJ_m3,easy_axis,kappa,curie_temperature_K,formation_energy_meV_atom,above_hull_meV_atom,formula_key,formula_parse_status
MMD-1122,Fe2Pt,2,P-3m1,trigonal,Ferromagnetic,1.73,5.53,,,c,1.669,,113.149128,273.153294,Fe2Pt1,ok
MMD-1123,Fe2Ni,2,P-3m1,trigonal,Ferromagnetic,1.93,5.71,,,c,0.633,,45.559593,91.461824,Fe2Ni1,ok
MMD-1124,Fe2N,2,P-3m1,trigonal,Ferromagnetic,1.57,3.91,,,ab plane,1.488,,82.197952,171.80562,Fe2N1,ok
MMD-1125,Fe3Pt,2,R-3m,trigonal,Ferromagnetic,1.86,25.31,,,c,1.275,,24.41934,144.422465,Fe3Pt1,ok
MMD-1126,Fe3Ni,2,Cmmm,orthorhombic,Ferromagnetic,2.03,16.05,,,b,0.184,,2.399688,36.826361,Fe3Ni1,ok
MMD-1127,GaFe2,2,P-3m1,trigonal,Ferromagnetic,1.44,4.78,,,c,1.514,,95.551119,236.962425,Fe2Ga1,ok
MMD-1128,Fe3Ni,2,R-3m,trigonal,Ferromagnetic,2.09,24.25,,,c,0.626,,88.568254,122.994927,Fe3Ni1,ok
MMD-1129,GaFe2,2,Fmmm,orthorhombic,Ferromagnetic,1.39,18.08,,,c,0.829,,2.237163,143.648469,Fe2Ga1,ok
MMD-1130,GaFe4,2,Fmmm,orthorhombic,Ferromagnetic,1.74,36.27,,,c,0.504,,10.608636,112.134091,Fe4Ga1,ok
MMD-1131,GaFe3,2,Cmmm,orthorhombic,Ferromagnetic,1.61,13.78,,,c,0.619,,4.233388,131.140206,Fe3Ga1,ok
MMD-1132,GaFe,2,P-6m2,hexagonal,Ferromagnetic,0.9,2.04,,,c,2.665,,-45.910581,124.509702,Fe1Ga1,ok
MMD-1133,FeMo2,2,Fmmm,orthorhombic,Ferromagnetic,0.54,8.11,,,a,0.958,,72.528098,78.436714,Fe1Mo2,ok
MMD-1134,FeCu,2,Cmmm,orthorhombic,Ferromagnetic,1.27,5.14,,,c,1.459,,167.150855,167.150855,Cu1Fe1,ok
MMD-1135,FeCu3,2,Cmmm,orthorhombic,Ferromagnetic,0.64,5.26,,,c,1.876,,105.52069,105.52069,Cu3Fe1,ok
MMD-1136,FeNi,2,Cmmm,orthorhombic,Ferromagnetic,1.7,6.56,,,b,0.505,,15.324848,84.178194,Fe1Ni1,ok
MMD-1137,FeNi,2,R-3m,trigonal,Ferromagnetic,1.66,9.65,,,c,0.594,,1.710531,70.563877,Fe1Ni1,ok
MMD-1138,FeCu4,2,R-3m,trigonal,Ferromagnetic,0.5,7.57,,,c,3.157,,65.263876,65.263876,Cu4Fe1,ok
MMD-1139,Fe3Ni2,2,P4/mmm,tetragonal,Ferromagnetic,1.83,17.87,,,c,0.341,,-33.650161,21.432515,Fe3Ni2,ok
MMD-1140,FeCo,2,Cmmm,orthorhombic,Ferromagnetic,2.22,8.75,,,b,0.466,,-21.041181,47.209908,Co1Fe1,ok
MMD-1141,FeNi3,2,R-3m,trigonal,Ferromagnetic,1.17,13.29,,,c,0.568,,-10.562094,77.44539,Fe1Ni3,ok
MMD-1142,FeCo3,2,P4/mmm,tetragonal,Ferromagnetic,1.98,7.28,,,ab plane,0.022,,30.441393,64.566938,Co3Fe1,ok
