material_id,formula,density,energy_above_hull,formation_energy_per_atom,magnetic_ordering,total_magnetization,magnetization_per_volume,magnetization_per_formula_unit,volume,nsites,crystal_system,space_group,is_stable,density_atomic,composition,elements,nelements,avg_atomic_weight,cell_mass,magnetic_performance_index,score_performance,score_stability,score_is_stable_bonus,score_simplicity,composite_score
mp-1199415,Mn2VHO5,3.671881274133864,0.0,-2.0974863295402306,FM,80.0008831,0.0914423894204432,10.0001103875,874.8774349296987,72,Orthorhombic,Pnma,True,12.151075485134704,"{'Mn': 16.0, 'V': 8.0, 'H': 8.0, 'O': 40.0}","['H', 'Mn', 'O', 'V']",4,0.3021857018850672,21.75737053572484,3.6769554927899657,0.6035357436133674,1.0,1.0,0.6,0.8014142974453471
mp-20717,CrAs,6.607783277664588,0.0,-0.1856117475000003,FM,9.7019567,0.0760473071039151,2.425489175,127.5779126109321,8,Orthorhombic,Pnma,True,15.947239076366513,"{'Cr': 4.0, 'As': 4.0}","['As', 'Cr']",2,0.4143528071550134,3.314822457240107,2.9268405246891462,0.48041181786665293,1.0,1.0,1.0,0.7921647271466611
mp-1196071,Ba2Fe2O5,5.439626929971506,0.0,-2.2993204539682544,FM,140.0000826,0.0702452032891497,10.0000059,1993.01982263072,126,Monoclinic,P2_1/c,True,15.81761763992635,"{'Ba': 28.0, 'Fe': 28.0, 'O': 70.0}","['Ba', 'Fe', 'O']",3,0.3438967266626148,43.330987559489465,3.2309460385086486,0.5303277191550623,1.0,1.0,0.8,0.7921310876620249
mp-21925,Fe2(MoO4)3,3.298370596672921,0.0,-1.897518330441178,FM,40.0001681,0.0335811351463402,10.000042025,1191.1499693410258,68,Orthorhombic,Pbcn,True,17.516911313838616,"{'Fe': 8.0, 'Mo': 12.0, 'O': 48.0}","['Fe', 'Mo', 'O']",3,0.1882963575928571,12.804152316314289,3.123999708206702,0.5127735406745035,1.0,1.0,0.8,0.7851094162698016
mp-560917,Mn13Al4Si2(SbO14)2,4.383586467451292,0.0,-2.487269709451091,FM,64.9986138,0.1093054079590595,64.9986138,594.6513993556961,49,Monoclinic,C2/m,True,12.135742843993798,"{'Mn': 13.0, 'Al': 4.0, 'Si': 2.0, 'Sb': 2.0, 'O': 28.0}","['Al', 'Mn', 'O', 'Sb', 'Si']",5,0.3612128671316408,17.6994304894504,3.672356228565766,0.6027808200470991,1.0,1.0,0.4,0.7811123280188397
mp-28943,Mn2BO4,4.294114027466514,0.0,-2.3589049957183894,FM,36.0000006,0.1260190195788677,9.00000015,285.67116868791186,28,Monoclinic,P2_1/c,True,10.202541738853997,"{'Mn': 8.0, 'B': 4.0, 'O': 16.0}","['B', 'Mn', 'O']",3,0.4208866905305943,11.784827334856642,3.054775396964942,0.5014110571624396,1.0,1.0,0.8,0.780564422864976
mp-18708,Fe3P,7.256245156805966,0.0,-0.354155793035714,FM,27.8501685,0.1532678283806076,6.962542125,181.70916097825895,16,Tetragonal,I-4,True,11.356822561141184,"{'Fe': 12.0, 'P': 4.0}","['Fe', 'P']",2,0.6389326871790825,10.22292299486532,2.7242862451363803,0.44716454360084734,1.0,1.0,1.0,0.778865817440339
mp-1245396,Mn3SiN4,4.953002156219089,0.0,-0.6660148773060346,FM,21.8424177,0.1308636748897016,10.92120885,166.90970751363864,16,Orthorhombic,Pmn2_1,True,10.431856719602417,"{'Mn': 6.0, 'Si': 2.0, 'N': 8.0}","['Mn', 'N', 'Si']",3,0.4747958383009558,7.596733412815293,2.8752381468530905,0.47194179979312145,1.0,1.0,0.8,0.7687767199172486
mp-559713,Fe3(P2O7)2,3.079906678290752,0.0,-2.4073928876700585,FM,56.000001,0.0503794993850328,14.00000025,1111.5632684638565,84,Orthorhombic,Pnma,True,13.232896053141149,"{'Fe': 12.0, 'P': 16.0, 'O': 56.0}","['Fe', 'O', 'P']",3,0.2327462307511787,19.55068338309901,2.8643500537894417,0.4701546274010198,1.0,1.0,0.8,0.768061850960408
mp-1196057,BaMn2Si2O7,3.9761824313586143,0.0,-2.9346034744468383,FM,40.004009,0.0576535053240898,10.00100225,693.869501518146,48,Monoclinic,C2/c,True,14.455614614961377,"{'Ba': 4.0, 'Mn': 8.0, 'Si': 8.0, 'O': 28.0}","['Ba', 'Mn', 'O', 'Si']",4,0.2750614579364419,13.202949980949214,3.029929603438818,0.4973328667952031,1.0,1.0,0.6,0.7589331467180813
mp-778008,Mn7(P2O7)4,3.4655738402202174,0.0,-2.550460003433955,FM,65.9999702,0.0637498992110479,32.9999851,1035.295287001208,86,Orthorhombic,C222_1,True,12.03831729071172,"{'Mn': 14.0, 'P': 16.0, 'O': 56.0}","['Mn', 'O', 'P']",3,0.2878785927078126,24.75755897287188,2.665851276869401,0.4375730236340732,1.0,1.0,0.8,0.7550292094536293
mp-541990,SrMn2(PO4)2,3.6133983794846274,0.0,-2.817086418280599,FM,40.0005937,0.0561655565541056,10.000148425,712.1908186108058,52,Triclinic,P-1,True,13.695977280977036,"{'Sr': 4.0, 'Mn': 8.0, 'P': 8.0, 'O': 32.0}","['Mn', 'O', 'P', 'Sr']",4,0.2638291744615728,13.719117072001785,2.915682801602001,0.47858038838276695,1.0,1.0,0.6,0.7514321553531069
mp-752598,Mn(AsO2)2,4.217292378104604,0.0,-1.7580691904187151,FM,19.9999992,0.0472453985067712,4.9999998,423.3216319920256,28,Tetragonal,P4_2/mbc,True,15.118629714000914,"{'Mn': 4.0, 'As': 8.0, 'O': 16.0}","['As', 'Mn', 'O']",3,0.2789467337902386,7.81050854612668,2.560652623562934,0.4203057089834223,1.0,1.0,0.8,0.748122283593369
mp-1194843,BaMn9V6(HO13)2,4.073147732079269,0.0,-2.2874837815654403,FM,180.007053,0.0814398802366103,45.00176325,2210.305964068448,176,Cubic,Pa-3,True,12.558556614025273,"{'Ba': 4.0, 'Mn': 36.0, 'V': 24.0, 'H': 8.0, 'O': 104.0}","['Ba', 'H', 'Mn', 'O', 'V']",5,0.3243324736483186,57.08251536210407,3.1534534149051017,0.5176080742469783,1.0,1.0,0.4,0.7470432296987914
mp-1213991,CaMnSiO4,3.3534774247784473,0.0,-3.054609996490149,FM,19.9991118,0.0539666180764495,4.99977795,370.5830106246251,28,Orthorhombic,Pnma,True,13.23510752230804,"{'Ca': 4.0, 'Mn': 4.0, 'Si': 4.0, 'O': 16.0}","['Ca', 'Mn', 'O', 'Si']",4,0.2533774220667338,7.094567817868547,2.8189330644820627,0.4626998794531433,1.0,1.0,0.6,0.7450799517812574
mp-558986,CaMn6SiO12,4.6279862396530085,0.0,-2.385285820879311,FM,95.9999966,0.1134124626725317,23.99999915,846.4677896748557,80,Tetragonal,I4_1/acd,True,10.580847370935697,"{'Ca': 4.0, 'Mn': 24.0, 'Si': 4.0, 'O': 48.0}","['Ca', 'Mn', 'O', 'Si']",4,0.4373927793690252,34.99142234952202,2.7435294181835785,0.4503231194327536,1.0,1.0,0.6,0.7401292477731014
mp-554453,Cr2P2O7,3.551491359494574,0.0,-2.52345086948052,FM,47.9999997,0.0615612726601653,7.999999949999999,779.7109712947744,66,Monoclinic,C2/c,True,11.81380259537537,"{'Cr': 12.0, 'P': 12.0, 'O': 42.0}","['Cr', 'O', 'P']",3,0.3006222027854808,19.841065383841737,2.419224914156599,0.39709175441381683,1.0,1.0,0.8,0.7388367017655268
mp-757712,Ba4Fe4O11,5.725954520838522,0.0,-2.226388043947368,FM,53.997296,0.0654228061279833,17.999098666666665,825.3589106888476,57,Triclinic,P1,True,14.479980889278028,"{'Ba': 12.0, 'Fe': 12.0, 'O': 33.0}","['Ba', 'Fe', 'O']",3,0.3954393700255787,22.540044091457982,2.3956162543827224,0.39321662727118983,1.0,1.0,0.8,0.7372866509084759
